local_path,original_url,rights_status,assigned_owner,action_required
uncategorized/uncategorized-2446f0_fb0c980636f44c418b65a8c6e2c10d6d.png,https://static.wixstatic.com/media/2446f0_fb0c980636f44c418b65a8c6e2c10d6d~mv2.png,likely-first-party,Jordynn Miller,None
uncategorized/uncategorized-2446f0_e18d164e397e4bcd9db1169f46279e96.png,https://static.wixstatic.com/media/2446f0_e18d164e397e4bcd9db1169f46279e96~mv2.png,likely-first-party,Jordynn Miller,None
founder/founder-2446f0_6bd22d41670a4ac09cd47437899274b0.jpg,https://static.wixstatic.com/media/2446f0_6bd22d41670a4ac09cd47437899274b0~mv2.jpg,likely-first-party,Jordynn Miller,None
uncategorized/uncategorized-2446f0_364e0a9712d24cc39d9b1ab72f9212a8.png,https://static.wixstatic.com/media/2446f0_364e0a9712d24cc39d9b1ab72f9212a8~mv2.png,likely-first-party,Jordynn Miller,None
uncategorized/uncategorized-2446f0_364e0a9712d24cc39d9b1ab72f9212a8.png,https://static.wixstatic.com/media/2446f0_364e0a9712d24cc39d9b1ab72f9212a8~mv2.png,likely-first-party,Jordynn Miller,None
uncategorized/uncategorized-2446f0_e18d164e397e4bcd9db1169f46279e967Emv2.png,https://static.wixstatic.com/media/2446f0_e18d164e397e4bcd9db1169f46279e96%7Emv2.png,likely-first-party,Jordynn Miller,None
uncategorized/uncategorized-2446f0_e18d164e397e4bcd9db1169f46279e96.png,https://static.wixstatic.com/media/2446f0_e18d164e397e4bcd9db1169f46279e96~mv2.png,likely-first-party,Jordynn Miller,None
uncategorized/uncategorized-2446f0_9e4437a57a1444a7bf6d56c36df9e5cc.png,https://static.wixstatic.com/media/2446f0_9e4437a57a1444a7bf6d56c36df9e5cc~mv2.png,likely-first-party,Jordynn Miller,None
uncategorized/uncategorized-2446f0_7c466838837b44e9bb3f052c2ac6a67b.png,https://static.wixstatic.com/media/2446f0_7c466838837b44e9bb3f052c2ac6a67b~mv2.png,likely-first-party,Jordynn Miller,None
logos/primary/logos-primary-2446f0_364e0a9712d24cc39d9b1ab72f9212a8.png,https://static.wixstatic.com/media/2446f0_364e0a9712d24cc39d9b1ab72f9212a8~mv2.png,likely-first-party,Jordynn Miller,None
uncategorized/uncategorized-2446f0_364e0a9712d24cc39d9b1ab72f9212a8.png,https://static.wixstatic.com/media/2446f0_364e0a9712d24cc39d9b1ab72f9212a8~mv2.png,likely-first-party,Jordynn Miller,None
uncategorized/uncategorized-2446f0_e18d164e397e4bcd9db1169f46279e96.png,https://static.wixstatic.com/media/2446f0_e18d164e397e4bcd9db1169f46279e96~mv2.png,likely-first-party,Jordynn Miller,None
uncategorized/uncategorized-2446f0_364e0a9712d24cc39d9b1ab72f9212a8.png,https://static.wixstatic.com/media/2446f0_364e0a9712d24cc39d9b1ab72f9212a8~mv2.png,likely-first-party,Jordynn Miller,None
uncategorized/uncategorized-2446f0_e18d164e397e4bcd9db1169f46279e96.png,https://static.wixstatic.com/media/2446f0_e18d164e397e4bcd9db1169f46279e96~mv2.png,likely-first-party,Jordynn Miller,None
uncategorized/uncategorized-2446f0_b6e89179a01d40fcbe1f0b81faeb2238.png,https://static.wixstatic.com/media/2446f0_b6e89179a01d40fcbe1f0b81faeb2238~mv2.png,likely-first-party,Jordynn Miller,None
uncategorized/uncategorized-2446f0_6401f27b71c0422b837c9cbf10f5368c.jpg,https://static.wixstatic.com/media/2446f0_6401f27b71c0422b837c9cbf10f5368c~mv2.jpg,likely-first-party,Jordynn Miller,None
uncategorized/uncategorized-2446f0_9acaf9db28bb45d2856bf46f9898937f.jpg,https://static.wixstatic.com/media/2446f0_9acaf9db28bb45d2856bf46f9898937f~mv2.jpg,likely-first-party,Jordynn Miller,None
uncategorized/uncategorized-2446f0_b231e5ea259e49af87261efd3987549a.jpg,https://static.wixstatic.com/media/2446f0_b231e5ea259e49af87261efd3987549a~mv2.jpg,likely-first-party,Jordynn Miller,None
uncategorized/uncategorized-2446f0_013dba7ee96d458583a3285bd1edac40.jpg,https://static.wixstatic.com/media/2446f0_013dba7ee96d458583a3285bd1edac40~mv2.jpg,likely-first-party,Jordynn Miller,None
